title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
Bhago Bhut Aaya,tt0377496,,https://en.wikipedia.org/wiki/Bhago_Bhut_Aaya,Bhago Bhoot Aayaa,Bhago Bhoot Aayaa,0,1985,\N,Comedy|Horror|Thriller,6.0,41.0,Widowed Manorama lives a wealthy lifestyle in India. She has her niece visit her and makes her the sole heir to her estate. The household peace and serenity will soon be shattered by the appearance of Jagjit and a butler - who are not who they claim to be; an attractive woman named Munni; a friendly young man named Munna  and a disfigured tall and seemingly invincible man - who may be one of the Undead. Things get even more complicated when Manorama decides to change her will and starts acting completely out of character.,A young girl has returned to India from London to see her old dying uncle. But she is unaware of presence of some goons planning to find hidden treasures of that house.,,Ashok Kumar|Aruna Irani|Deven Verma|Shakti Kapoor|Kaajal Kiran|Prema Narayan|Rajesh Behl|,,
Bhavani Junction,tt0268990,,https://en.wikipedia.org/wiki/Bhavani_Junction,Bhavani Junction,Bhavani Junction,0,1985,128,Action|Crime|Thriller,5.9,38.0,Ram is the Superintendent of Police in a city in India  and lives a wealthy lifestyle along with his wife  Shakun  and son  Anu. Then one day while at a meeting with senior police officials  a frantic Anu informs him that Shakun has been abducted by two males. Both father and son search for Shakun  they find her  brutally beaten and sexually molested. She does not survive  and the Police launch a manhunt for the killers. The only clue they have is a saddle with 'BJ' inscribed on it. Ram finds out that what BJ stands for  and heads to Bhavani Juntion  where he meets with his childhood friend  Raja Bhavani Pratap  who virtually rules Bhavani junction. He instructs his Police Chief to locate the two males at any cost. Several suspects are rounded up  but the real culprits manage to elude them. Then Ram finds out that the real culprit is Rakesh  but he will not be able to arrest him as Rakesh happens to be the only son of Bhavani Pratap  who will never surrender his son to Ram  nor will ...,Ram is in search of his wife's killers  which leads him to Bhavani Junction - ruled by his childhood friend who promises to help him.,,Shashi Kapoor|Shatrughan Sinha|Zeenat Aman|Rati Agnihotri|Prem Chopra|Mahesh Anand|Mazhar Khan|Yusuf Khan|Master Ravi|Sharat Saxena|Deven Verma|,,22 November 1985 (India)
Bond 303,tt0448392,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Bond303film.jpg/220px-Bond303film.jpg,https://en.wikipedia.org/wiki/Bond_303,Bond 303,Bond 303,0,1985,\N,Action|Adventure|Crime,4.9,26.0,Terrorist attacks take place all over the world by unknown rockets so an Indian agent  Bond 303  is called to solve the mystery behind it.,Terrorist attacks take place all over the world by unknown rockets so an Indian agent  Bond 303  is called to solve the mystery behind it.,,Jeetendra|Parveen Babi|,,
Debshishu,tt0157518,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Debshishufilmhindi.jpg/220px-Debshishufilmhindi.jpg,https://en.wikipedia.org/wiki/Debshishu,Debshishu,Debshishu,0,1987,100,Drama,7.4,21.0,This powerful and realistic film is a study of poverty  illiteracy  natural calamities and the toll they take on the human soul. the story of a rural couple who're trying to survive on the road with many others like them  after their village was destroyed by a flood. the wife gives birth to a deformed baby  which is pronounced as a 'child of the devil' by the local pundit (Hindu priest)  who forces them to abandon the child and exiles them from the community. the journey takes the couple towards a bizarre and heart-breaking conclusion.,This powerful and realistic film is a study of poverty  illiteracy  natural calamities and the toll they take on the human soul. the story of a rural couple who're trying to survive on the ...                    ,,Bijoy Dey|Noni Ganguly|Sadhu Meher|Sunil Mukherjee|Smita Patil|Om Puri|Pranab Kumar Sanyal|Sushaant Sanyal|,,2 February 1987 (Sweden)
Dekha Pyar Tumhara,tt0359143,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/DekhaPyarTumhara.jpg/220px-DekhaPyarTumhara.jpg,https://en.wikipedia.org/wiki/Dekha_Pyar_Tumhara,Dekha Pyar Tumhara,Dekha Pyar Tumhara,0,1985,138,Comedy|Drama,5.9,34.0,Bombay-based Anu lives a wealthy lifestyle along with her businessman dad  Jaggu Kailashnath  and mom. While on a vacation at Ooty she meets with and falls in love with Vishal  who also lives in Bombay  and works as a photographer in 'Target' an agency where he is also a partner. Anu's dad approves of him and gets them both married. They live a fairly harmonious lifestyle which is shattered when Anu suspects Vishal of having an affair with Rosie. They do manage to patch-up but misunderstandings re-occur after Vishal finds out that he is being dog-trained  and that Anu maybe having an affair with a male named Ranjeet Mullick.,Bombay-based Anu lives a wealthy lifestyle along with her businessman dad  Jaggu Kailashnath  and mom. While on a vacation at Ooty she meets with and falls in love with Vishal  who also ...                    ,,Kamal Haasan|Rati Agnihotri|Deven Verma|,,20 December 1985 (India)
Do Dilon Ki Dastaan (1985 film),tt0359167,,https://en.wikipedia.org/wiki/Do_Dilon_Ki_Dastaan_(1985_film),Do Dilon Ki Dastaan,Do Dilon Ki Dastaan,0,1985,\N,Romance,5.2,17.0,While multi-millionaire Mr. Saxena is busy announcing the engagement of Vijay  his grandson  he  himself  is busy driving a horse-carriage  and getting into fisticuffs with hoodlums. Vijay is quite unhappy with his grandpa about his engagement with Hong Kong returned Aarti Verma  the only daughter of wealthy magnate Roshanlal Verma. For Vijay is in love with an unknown young woman he saw at the airport. Unable to get her out of his mind  he is thrilled when he gets to meet her again in Srinagar and finally finds out that she is his tour guide  Sona Mathur. After a few misunderstandings  Sona too falls in love with him. Then things change unexpectedly after they meet with an accident  whereby Vijay temporarily loses the use of his legs. When he limps over to Sona's room  he is told that she has been discharged. And the person she has been discharged with is a young man by the name of Kamal - who is also in love with Sona. Vijay must now find out why Sona has deserted him  and if at all...,While multi-millionaire Mr. Saxena is busy announcing the engagement of Vijay  his grandson  he  himself  is busy driving a horse-carriage  and getting into fisticuffs with hoodlums. Vijay ...                    ,,Sanjay Dutt|Padmini Kolhapure|Shakti Kapoor|Om Prakash|Arun Govil|Kader Khan|Kaajal Kiran|,,
Durgaa,tt0243230,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Durgaa_%281985%29.jpg/220px-Durgaa_%281985%29.jpg,https://en.wikipedia.org/wiki/Durgaa,Durgaa,Durgaa,0,1985,\N,Action|Crime,6.3,17.0,This action-crime genre film revolves around Durgaa  a soft spoken girl who is exploited by various men in her life. At first  Durgaa falls in love with a young man (Raj Babbar) and even marries him. But she realizes post marriage that her husband had married her only as an excuse to sleep with her. Durgaa sees her husband romancing and sleeping with other girls. Her husband tries to get Durgaa into trouble by hatching a plan to get her name tagged as a prostitute. She is then accused of murdering an innocent girl but seeks the help of a senior good looking man (Pran) to bear her court expenses so that she can fight the injustice against her. She is introduced to Mohan Babu (Rajesh Khanna)  who has the reputation of winning every case he handles and so is hired as the advocate representing Durgaa. But Durgaa is not aware of the motive of the old man in helping her. The rest of the story is why Mohan was hired as the advocate by that old man  what the motive of the old man helping ...,This action-crime genre film revolves around Durgaa  a soft spoken girl who is exploited by various men in her life.,,Hema Malini|Raj Babbar|Pran|Rajesh Khanna|Yunus Parvez|Chandrashekhar|,,
Ek Chitthi Pyar Bhari,tt0408734,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Ek_Chitthi_Pyar_Bhari.jpg/220px-Ek_Chitthi_Pyar_Bhari.jpg,https://en.wikipedia.org/wiki/Ek_Chitthi_Pyar_Bhari,Ek Chitthi Pyar Bhari,Ek Chitthi Pyar Bhari,0,1985,\N,Drama,6.6,13.0,Dr. Sunil Sharma runs two clinics in rural India - mainly for the benefit of poor and needy people. He advertises in the newspapers for a qualified nurse  who must be single  and be willing to work long hours. A young and attractive woman named Aarti Saxena responds to his advertisement  is successful in the interview  and gets hired. Sunil finds himself getting attracted to Aarti  and mentions about her to his mother. His mother visits the clinic and approves of Aarti. She would like Aarti and Sunil to marry as quickly as possible. What Sunil and his mother do not know that Aarti has a sordid past - she has been disbarred from the nursing profession; she is married  and has a child by the name of Bulbul; and had assaulted a patient named Kamal Nath  when he expressed dissatisfaction with her work. Will Aarti be honest enough to tell Sunil about her past - or will she just refuse to marry him.,Dr. Sunil Sharma runs two clinics in rural India - mainly for the benefit of poor and needy people. He advertises in the newspapers for a qualified nurse  who must be single  and be willing...                    ,,Raj Babbar|Reena Roy|,,
Ek Se Bhale Do,tt0384074,,https://en.wikipedia.org/wiki/Ek_Se_Bhale_Do,Ek Se Bhale Do,Ek Se Bhale Do,0,1985,\N,Action|Comedy|Drama,6.5,15.0,David D'Mello lives a middle-classed lifestyle in Bangalore along with his wife  Mary  and a son  Bunty  and is a jockey in the Bangalore Turf Club. He has a run-in with a wealthy stud farm owner  Gomango  who kills him. David's death also kills his widower friend  Balram  compelling his son  Bhima  to move in with Mary. She gives birth to a daughter  and makes a living sewing and stitching clothes  while Bunty and Bhima wash cars and do small chores. Years later both Bhima and Bunty have grown up  work on a stud farm  and look after a pony  Sikander. Bunty is in love with Jenny and wants to marry her  but her dad  William  will only give his blessings after Bunty accumulates some wealth. In order to get wealthy quickly both Bhima and Bunty decide to rob Gomango - and set off a chain of events that will endanger and change their lives forever.,David D'Mello lives a middle-classed lifestyle in Bangalore along with his wife  Mary  and a son  Bunty  and is a jockey in the Bangalore Turf Club. He has a run-in with a wealthy stud farm...                    ,,Rati Agnihotri|Balwant Dullat|Kumar Gaurav|Shammi Kapoor|Amjad Khan|Guddi Maruti|Monty Nath|Ranjeet|Master Ravi|Parikshat Sahni|Monty Sharma|Gurbachan Singh|Rahul Singh|,,
Faasle,tt0089119,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Faasle.jpg/220px-Faasle.jpg,https://en.wikipedia.org/wiki/Faasle,Faasle,Faasle,0,1985,146,Drama|Romance,4.3,47.0,Vikram (Sunil Dutt) is a wealthy man and has brought up his motherless daughter Chandni (Farah) and son Sanjay (Farooq Shaikh) sacrificing his own personal happiness. When Vijay (Rohan Kapoor) comes into Chandni's life - her father's disapproval and her impending arranged marriage threatens the love between Chandni and Vijay. FAASLE is a story of everyone doing what they believe to be right.,A story of the blind sense of duty of the elders and the self-confidence and arrogance of the young. Both think they are right for the sake of love.,,Sunil Dutt|Rekha|Rohan Kapoor|Farha Naaz|Farooq Shaikh|Deepti Naval|Raj Kiran|Sushma Seth|Kanwar Ajeet|Javed Khan|Alok Nath|Huma Khan|Daljit Kaur|Nikita Shah|,,27 September 1985 (India)
